arrayTimeAddSorted test,
Number Of,Average Time(ms),
5500,130,
8000,275,
10500,462,
13000,708,
15500,1005,
18000,1365,
20500,1768,
23000,2218,
25500,2723,
28000,3276,
30500,3888,
33000,4574,
35500,5297,
38000,6061,
40500,6890,
43000,7771,
45500,8696,
48000,9675,
50500,10728,
53000,11822,
55500,12935,
58000,14129,
60500,15384,
63000,16687,
65500,17952,
68000,19440,
70500,20904,
73000,22450,
75500,23980,
78000,25574,
80500,27239,
83000,29101,
85500,30597,
88000,32478,
90500,34396,
93000,36343,
95500,38305,
98000,40301,
100500,42401,
103000,44516,
105500,46687,
108000,48961,
110500,51257,
113000,53586,
115500,55970,
118000,58597,
120500,60972,
123000,63469,
125500,66090,
128000,68722,
130500,71458,
133000,74280,
135500,77032,
138000,79877,
140500,82774,
143000,85722,
145500,88740,
148000,91865,
150500,94953,
153000,98180,
155500,101402,
158000,104621,
160500,107988,
163000,111403,
165500,114824,
168000,118259,
