linkedTimeAddFromFront test,
Number Of,Average Time(ms),
50000,3,
100000,3,
150000,2,
200000,4,
250000,5,
300000,7,
350000,9,
400000,9,
450000,10,
500000,10,
550000,16,
600000,12,
650000,16,
700000,12,
750000,19,
800000,23,
850000,16,
900000,16,
950000,22,
1000000,18,
1050000,25,
1100000,20,
1150000,21,
1200000,25,
1250000,22,
1300000,28,
1350000,25,
1400000,32,
1450000,26,
1500000,36,
1550000,28,
1600000,30,
1650000,36,
1700000,32,
1750000,35,
1800000,37,
1850000,34,
1900000,43,
1950000,78,
2000000,47,
2050000,38,
2100000,48,
2150000,51,
2200000,79,
2250000,53,
2300000,49,
2350000,46,
2400000,54,
2450000,46,
2500000,50,
2550000,52,
2600000,60,
2650000,53,
2700000,52,
2750000,64,
2800000,105,
2850000,54,
2900000,63,
2950000,59,
3000000,61,
3050000,63,
3100000,69,
3150000,61,
3200000,59,
3250000,61,
3300000,106,
3350000,77,
3400000,94,
3450000,130,
3500000,78,
3550000,82,
3600000,86,
3650000,87,
3700000,81,
3750000,80,
3800000,93,
3850000,97,
3900000,94,
3950000,90,
4000000,92,
4050000,85,
4100000,100,
4150000,90,
4200000,106,
4250000,93,
4300000,100,
4350000,107,
