arrayTimeFindSecond test,
Number Of,Average Time(ns),
55000,842884,
80000,103054,
105000,131034,
130000,174757,
155000,208027,
180000,252518,
205000,290201,
230000,327650,
255000,377101,
280000,408816,
305000,445241,
330000,491540,
355000,519755,
380000,562525,
405000,597395,
430000,641233,
455000,715018,
480000,711192,
505000,767943,
530000,793545,
555000,865822,
580000,944009,
605000,1014538,
630000,956615,
655000,1089082,
680000,1121760,
705000,1149303,
730000,1242159,
755000,1209889,
780000,1226519,
805000,1317328,
830000,1286734,
855000,1376575,
880000,1435977,
905000,1455025,
930000,1505220,
955000,1572167,
980000,1610286,
1005000,1691648,
1030000,1685318,
1055000,1699549,
1080000,1682409,
1105000,1730105,
1130000,1799174,
1155000,1839481,
1180000,1861949,
1205000,1875554,
1230000,1944641,
1255000,2011220,
1280000,2026423,
